skill_name,community,participation_coeff,weighted_degree,boundary_role
"Guiding, Directing, and Motivating Subordinates",Sociocognitive,0.4156,75.5421,Connector (boundary-spanning)
Administration and Management,Sociocognitive,0.4152,75.3466,Connector (boundary-spanning)
Problem Sensitivity,Sociocognitive,0.4139,76.2442,Connector (boundary-spanning)
Monitoring,Sociocognitive,0.4114,76.8412,Connector (boundary-spanning)
Developing and Building Teams,Sociocognitive,0.4112,78.5319,Connector (boundary-spanning)
Information Ordering,Sociocognitive,0.4106,78.4347,Connector (boundary-spanning)
Coaching and Developing Others,Sociocognitive,0.409,73.4166,Connector (boundary-spanning)
Staffing Organizational Units,Sociocognitive,0.4049,73.2272,Connector (boundary-spanning)
Economics and Accounting,Sociocognitive,0.4047,68.9913,Connector (boundary-spanning)
Mathematical Reasoning,Sociocognitive,0.4031,74.241,Connector (boundary-spanning)
Category Flexibility,Sociocognitive,0.4026,78.8603,Connector (boundary-spanning)
Selling or Influencing Others,Sociocognitive,0.4014,75.2425,Connector (boundary-spanning)
Personnel and Human Resources,Sociocognitive,0.4013,73.0911,Connector (boundary-spanning)
Computers and Electronics,Sociocognitive,0.3966,77.2405,Connector (boundary-spanning)
Scheduling Work and Activities,Sociocognitive,0.3948,79.4587,Connector (boundary-spanning)
Law and Government,Sociocognitive,0.3944,72.1514,Connector (boundary-spanning)
Making Decisions and Solving Problems,Sociocognitive,0.3937,79.91,Connector (boundary-spanning)
"Communicating with Supervisors, Peers, or Subordinates",Sociocognitive,0.3918,77.7862,Connector (boundary-spanning)
Documenting/Recording Information,Sociocognitive,0.3893,80.3861,Connector (boundary-spanning)
Operations Analysis,Sociocognitive,0.3891,76.2143,Connector (boundary-spanning)
Memorization,Sociocognitive,0.3862,80.474,Connector (boundary-spanning)
History and Archeology,Sociocognitive,0.3854,62.2657,Connector (boundary-spanning)
Thinking Creatively,Sociocognitive,0.3774,73.322,Connector (boundary-spanning)
Service Orientation,Sociocognitive,0.3752,76.2498,Connector (boundary-spanning)
Getting Information,Sociocognitive,0.3747,77.0854,Connector (boundary-spanning)
Resolving Conflicts and Negotiating with Others,Sociocognitive,0.3734,75.6304,Connector (boundary-spanning)
Therapy and Counseling,Sociocognitive,0.3731,63.7219,Connector (boundary-spanning)
Updating and Using Relevant Knowledge,Sociocognitive,0.3717,80.2144,Connector (boundary-spanning)
Communicating with Persons Outside Organization,Sociocognitive,0.3699,81.2523,Connector (boundary-spanning)
"Organizing, Planning, and Prioritizing Work",Sociocognitive,0.3696,79.2128,Connector (boundary-spanning)
Coordination,Sociocognitive,0.3693,80.0413,Connector (boundary-spanning)
Processing Information,Sociocognitive,0.3686,77.0146,Connector (boundary-spanning)
Provide Consultation and Advice to Others,Sociocognitive,0.3667,74.8447,Connector (boundary-spanning)
Philosophy and Theology,Sociocognitive,0.3627,68.6312,Connector (boundary-spanning)
Performing Administrative Activities,Sociocognitive,0.3599,78.5902,Connector (boundary-spanning)
Interacting With Computers,Sociocognitive,0.3595,81.4387,Connector (boundary-spanning)
Analyzing Data or Information,Sociocognitive,0.3589,76.1551,Connector (boundary-spanning)
Clerical,Sociocognitive,0.3574,76.0706,Connector (boundary-spanning)
Management of Personnel Resources,Sociocognitive,0.3557,77.2715,Connector (boundary-spanning)
Psychology,Sociocognitive,0.3555,72.2683,Connector (boundary-spanning)
Developing Objectives and Strategies,Sociocognitive,0.3538,77.6374,Connector (boundary-spanning)
Speech Recognition,Sociocognitive,0.3533,78.5009,Connector (boundary-spanning)
Sociology and Anthropology,Sociocognitive,0.3481,68.6729,Connector (boundary-spanning)
Time Management,Sociocognitive,0.3476,76.0182,Connector (boundary-spanning)
Instructing,Sociocognitive,0.3456,76.4671,Connector (boundary-spanning)
Communications and Media,Sociocognitive,0.3429,76.6595,Connector (boundary-spanning)
Systems Evaluation,Sociocognitive,0.3407,76.2517,Connector (boundary-spanning)
Negotiation,Sociocognitive,0.3385,76.3326,Connector (boundary-spanning)
Social Perceptiveness,Sociocognitive,0.3385,77.5255,Connector (boundary-spanning)
Learning Strategies,Sociocognitive,0.3359,75.9934,Connector (boundary-spanning)
Complex Problem Solving,Sociocognitive,0.3353,76.5547,Connector (boundary-spanning)
Systems Analysis,Sociocognitive,0.3344,77.7027,Connector (boundary-spanning)
Inductive Reasoning,Sociocognitive,0.3323,77.6896,Connector (boundary-spanning)
Persuasion,Sociocognitive,0.3311,78.943,Connector (boundary-spanning)
Oral Comprehension,Sociocognitive,0.3305,80.9268,Connector (boundary-spanning)
English Language,Sociocognitive,0.3297,78.7425,Connector (boundary-spanning)
Fluency of Ideas,Sociocognitive,0.3253,77.4449,Connector (boundary-spanning)
Establishing and Maintaining Interpersonal Relationships,Sociocognitive,0.3236,77.9208,Connector (boundary-spanning)
Originality,Sociocognitive,0.3236,78.1194,Connector (boundary-spanning)
Interpreting the Meaning of Information for Others,Sociocognitive,0.3235,77.5613,Connector (boundary-spanning)
Deductive Reasoning,Sociocognitive,0.3216,78.2279,Connector (boundary-spanning)
Critical Thinking,Sociocognitive,0.321,77.636,Connector (boundary-spanning)
Judgment and Decision Making,Sociocognitive,0.3192,77.4484,Connector (boundary-spanning)
Active Listening,Sociocognitive,0.3131,80.8878,Connector (boundary-spanning)
Active Learning,Sociocognitive,0.3107,78.1174,Connector (boundary-spanning)
Oral Expression,Sociocognitive,0.3102,79.7227,Connector (boundary-spanning)
Written Comprehension,Sociocognitive,0.3101,78.8218,Connector (boundary-spanning)
Speech Clarity,Sociocognitive,0.3084,77.0612,Connector (boundary-spanning)
Writing,Sociocognitive,0.3083,80.1176,Connector (boundary-spanning)
Written Expression,Sociocognitive,0.3061,78.9197,Connector (boundary-spanning)
Reading Comprehension,Sociocognitive,0.3028,77.9932,Connector (boundary-spanning)
Speaking,Sociocognitive,0.3017,78.8575,Connector (boundary-spanning)
