coef,estimate,std_error,panel,flow,model
b_dn_SC_Scaffolding,-0.178360526673881,0.0428797125256977,Panel A,abandonment,Both controls
b_up_SC_Specialized,-0.131700818375896,0.0512508751576662,Panel A,abandonment,Both controls
b_dn_SC_Specialized,-0.153595061344429,0.0471542229432652,Panel A,abandonment,Both controls
b_up_Physical_Terminal,-0.0633093323594233,0.0535125648060042,Panel A,abandonment,Both controls
b_dn_Physical_Terminal,-0.128591380828973,0.0429684373742193,Panel A,abandonment,Both controls
b_up_SC_Scaffolding,-0.0317960822008392,0.025800608918933,Panel B,abandonment,AIOE control
b_dn_SC_Scaffolding,-0.0278409104839296,0.0191442724036418,Panel B,abandonment,AIOE control
b_up_SC_Specialized,0.0412108338381165,0.0312668587805728,Panel B,abandonment,AIOE control
b_dn_SC_Specialized,-0.0108178859939561,0.0246666308375893,Panel B,abandonment,AIOE control
b_up_Physical_Terminal,0.0524802551271071,0.0402676841535655,Panel B,abandonment,AIOE control
b_dn_Physical_Terminal,0.0100139836759559,0.0285240055560286,Panel B,abandonment,AIOE control
b_up_SC_Scaffolding,-0.0706797901946897,0.0270293021889912,Panel B,abandonment,GPT control
b_dn_SC_Scaffolding,-0.0285320757932321,0.0155124235566759,Panel B,abandonment,GPT control
b_up_SC_Specialized,-0.0283109612252808,0.0354146867757412,Panel B,abandonment,GPT control
b_dn_SC_Specialized,-0.0326235133324117,0.0207607062111328,Panel B,abandonment,GPT control
b_up_Physical_Terminal,0.199265477723591,0.0446206120185656,Panel B,abandonment,GPT control
b_dn_Physical_Terminal,0.0928949226138884,0.0271634516257697,Panel B,abandonment,GPT control
b_up_SC_Scaffolding,-0.0372591824282162,0.0265273259926537,Panel B,abandonment,Both controls
b_dn_SC_Scaffolding,-0.027701266805371,0.0199636640545346,Panel B,abandonment,Both controls
b_up_SC_Specialized,0.0430275705957321,0.0326951828567648,Panel B,abandonment,Both controls
b_dn_SC_Specialized,-0.0101961039240205,0.0260208587060395,Panel B,abandonment,Both controls
b_up_Physical_Terminal,0.0749136651235866,0.0411915800624565,Panel B,abandonment,Both controls
b_dn_Physical_Terminal,0.0183582574271308,0.0278639702752564,Panel B,abandonment,Both controls
