skill_name,louvain_type,leiden_type,concordant
Telecommunications,Cognitive,Cognitive,TRUE
Therapy and Counseling,Cognitive,Cognitive,TRUE
Thinking Creatively,Cognitive,Cognitive,TRUE
Time Management,Cognitive,Cognitive,TRUE
Time Sharing,Cognitive,Cognitive,TRUE
Training and Teaching Others,Cognitive,Cognitive,TRUE
Transportation,Physical,Physical,TRUE
Troubleshooting,Physical,Physical,TRUE
Trunk Strength,Physical,Physical,TRUE
Updating and Using Relevant Knowledge,Cognitive,Cognitive,TRUE
Visual Color Discrimination,Physical,Physical,TRUE
Visualization,Physical,Physical,TRUE
Wrist-Finger Speed,Physical,Physical,TRUE
Writing,Cognitive,Cognitive,TRUE
Written Comprehension,Cognitive,Cognitive,TRUE
Written Expression,Cognitive,Cognitive,TRUE
