flow,panel,coef,model,estimate,std_error,sig
abandonment,Panel B,b_up_Physical_Terminal,AIOE control,0.0524802551271071,0.0402676841535655,ns
abandonment,Panel B,b_dn_Physical_Terminal,AIOE control,0.0100139836759559,0.0285240055560286,ns
abandonment,Panel B,b_up_SC_General,GPT control,-0.0706797901946897,0.0270293021889912,**
abandonment,Panel B,b_dn_SC_General,GPT control,-0.0285320757932321,0.0155124235566759,~
abandonment,Panel B,b_up_SC_Specialized,GPT control,-0.0283109612252808,0.0354146867757412,ns
abandonment,Panel B,b_dn_SC_Specialized,GPT control,-0.0326235133324117,0.0207607062111328,ns
abandonment,Panel B,b_up_Physical_Terminal,GPT control,0.199265477723591,0.0446206120185656,***
abandonment,Panel B,b_dn_Physical_Terminal,GPT control,0.0928949226138884,0.0271634516257697,***
abandonment,Panel B,b_up_SC_General,Both controls,-0.0372591824282162,0.0265273259926537,ns
abandonment,Panel B,b_dn_SC_General,Both controls,-0.027701266805371,0.0199636640545346,ns
abandonment,Panel B,b_up_SC_Specialized,Both controls,0.0430275705957321,0.0326951828567648,ns
abandonment,Panel B,b_dn_SC_Specialized,Both controls,-0.0101961039240205,0.0260208587060395,ns
abandonment,Panel B,b_up_Physical_Terminal,Both controls,0.0749136651235866,0.0411915800624565,~
abandonment,Panel B,b_dn_Physical_Terminal,Both controls,0.0183582574271308,0.0278639702752564,ns
